,pval,log2fc,pre_mean,on_mean,qval
AC004817.3,0.032705639682911146,-1.2491832,150.73082,358.2974,0.4550175842396355
AC021188.1,0.04727362592039255,-2.471716,22.80425,126.495895,0.4550175842396355
AC093673.1,0.034946395446023897,-2.6296842,1.9901567,12.31689,0.4550175842396355
AC243829.4,0.0011800666679885562,-0.77681077,373.58313,640.0746,0.41366386182924586
ADAM28,0.03238062356188259,1.6429869,57.88047,18.532913,0.4550175842396355
AHNAK,0.013740047507896293,0.3138035,1900.8599,1529.2759,0.4550175842396355
AKAP5,0.020872074200801175,0.727375,1077.6162,650.88226,0.4550175842396355
AL122035.1,0.01931640711463619,0.75973606,314.50684,185.74911,0.4550175842396355
AL158151.1,0.038832571703224975,0.9190599,10.454708,5.5290093,0.4550175842396355
ANKRD28,0.02883646474365691,-1.0353703,467.80014,958.8217,0.4550175842396355
ANO8,0.0459082495255951,1.6340541,18.872866,6.08049,0.4550175842396355
AREG,0.04983337222839423,-1.1721703,353.6855,797.03186,0.4550175842396355
ARID5B,0.047016308210685503,-0.8290018,581.2585,1032.58,0.4550175842396355
ARMH1,0.04091845905309365,-1.1744887,330.41254,745.7836,0.4550175842396355
BCL2L11,0.002986465874837671,-1.6005619,223.01036,676.3043,0.4550175842396355
BIRC3,0.043615560703273035,-1.254782,520.89215,1243.0106,0.4550175842396355
CAPG,0.006370411553001061,0.47577438,1712.7976,1231.6398,0.4550175842396355
CD109,0.04331019372441289,-1.6077355,108.85715,331.7673,0.4550175842396355
CEBPD,0.03272627020599125,-1.4494046,77.5191,211.70102,0.4550175842396355
CH25H,0.0383727468792557,-6.4768386,1.2893589,114.84086,0.4550175842396355
CLNK,0.021287024476619804,1.2979982,587.4028,238.8909,0.4550175842396355
CRTAM,0.027394681393153722,-1.5466813,486.6214,1421.6368,0.4550175842396355
CSF1,0.03498707895471525,0.9703407,888.46246,453.45837,0.4550175842396355
CYTOR,0.03585318402321302,-0.22716051,2295.8674,2687.3792,0.4550175842396355
DOT1L,0.022316617932353334,-2.4479537,46.293972,252.59918,0.4550175842396355
DUSP1,0.0029883766638943744,-0.8728405,1509.716,2764.69,0.4550175842396355
ENTPD1,0.02043780922867851,-0.84612995,631.66626,1135.5288,0.4550175842396355
FADS2,0.025735512576885958,2.1125627,61.86643,14.305739,0.4550175842396355
FASLG,0.001229823591274363,1.0683391,1590.0208,758.2295,0.41366386182924586
FKBP5,0.014933714468032766,-0.7394294,803.04504,1340.696,0.4550175842396355
FSTL1,0.03319497620064224,3.4273846,26.05412,2.4217582,0.4550175842396355
GABPB1-AS1,0.03381972196857991,-0.92916936,416.93298,793.91516,0.4550175842396355
GOLGA8A,0.027986678657911147,-1.6853265,52.438004,168.64752,0.4550175842396355
GPR25,0.03896452390517318,1.2019602,566.4333,246.21962,0.4550175842396355
HLA-B,0.01439588344598604,0.08142444,9146.014,8644.117,0.4550175842396355
HNRNPLL,0.03147051212747953,-0.78166467,689.00134,1184.4714,0.4550175842396355
HPGD,0.04782678643025018,-1.9955804,90.876236,362.3931,0.4550175842396355
IER2,0.01165846490388775,0.64747185,2146.6533,1370.4193,0.4550175842396355
IGHG2,0.048593086009429555,1.0108105,92.54468,45.926903,0.4550175842396355
IL2RA,0.02495274483249275,-1.7722273,48.713097,166.39464,0.4550175842396355
ISG20,0.032392466429227745,-0.27721363,2606.683,3158.9143,0.4550175842396355
ITGAE,0.019867976797673183,0.24461615,2260.1357,1907.6458,0.4550175842396355
ITM2A,0.03541555279921851,0.35168335,2787.0247,2184.1052,0.4550175842396355
JUNB,0.02908414922832014,0.3806817,4389.2812,3371.2954,0.4550175842396355
KBTBD6,0.006338991271384329,1.611546,45.86188,15.008184,0.4550175842396355
KIF21B,0.027195743839559538,0.72327214,352.49448,213.51369,0.4550175842396355
LYAR,0.03318603633795064,-0.7915224,419.27087,725.71594,0.4550175842396355
MALAT1,0.019808533444408062,0.1488849,10360.249,9344.398,0.4550175842396355
MORN3,0.030897881424726267,1.8526917,29.317802,8.117376,0.4550175842396355
MT2A,0.04937093653487825,-0.16823864,4765.8496,5355.3174,0.4550175842396355
MYB,0.03844044665414639,-1.7433586,52.97418,177.36482,0.4550175842396355
NEAT1,0.04115106602162746,-0.54443496,1731.1245,2524.7568,0.4550175842396355
NFKBIA,0.0026577451759804372,-1.0412796,1383.4434,2847.1987,0.4550175842396355
NR4A2,0.004502172330904546,1.3325837,2484.7368,986.581,0.4550175842396355
OASL,0.0014805285553097245,0.9610151,2001.5916,1028.2083,0.4159999373912145
PELI1,0.023292885869339263,-1.0487604,236.01332,488.25296,0.4550175842396355
PIM2,0.028440109713152004,-0.79021317,424.16705,733.5248,0.4550175842396355
PPP1R14B,0.008623571334481866,1.5388292,1037.4735,357.0617,0.4550175842396355
PRDM1,4.119463360617751e-06,-1.3734751,787.4782,2040.308,0.008126186869671018
RASGEF1B,0.0012582086652060045,1.2269925,260.7171,111.380196,0.41366386182924586
RGS1,0.001687085495410729,-0.42490953,2664.0393,3576.4417,0.4159999373912145
RUNX3,0.048470503559032485,0.36092114,1871.6366,1457.3821,0.4550175842396355
S100B,0.03537522855041997,-1.8906554,9.91263,36.756393,0.4550175842396355
SGK1,0.04935425375936407,-0.9351949,87.593575,167.49196,0.4550175842396355
SLC5A3,0.011964733013309728,1.0331948,495.14264,241.94002,0.4550175842396355
SOX4,0.045378567384638385,1.9740459,472.18185,120.188324,0.4550175842396355
TAGAP,0.04956534455882469,-1.0358099,677.0523,1388.1361,0.4550175842396355
TAGLN,0.034004155927444366,1.9985335,117.27331,29.348145,0.4550175842396355
TGIF1,0.025959750638885948,-1.5266272,299.73657,863.5755,0.4550175842396355
TNFSF14,0.006080515830447373,1.4295756,694.56354,257.84982,0.4550175842396355
TNS3,0.02072178506137424,-0.92849165,365.1063,694.90137,0.4550175842396355
TRBC2,0.046179290086465825,0.20679335,3730.0608,3231.9521,0.4550175842396355
TSC22D2,0.03548881628024588,1.2074727,225.87772,97.81104,0.4550175842396355
TSC22D3,0.00034861216265644646,-1.0874897,2108.1094,4479.816,0.22922788162724958
TXNIP,0.027033681605252925,-0.53265655,1896.0859,2742.8599,0.4550175842396355
ZFP36,0.01133743074008074,-0.42365015,3048.4663,4088.9595,0.4550175842396355
ZFP36L1,0.0003306288675426922,0.59162277,3626.6343,2406.62,0.22922788162724958
ZNF683,0.02366987356698478,0.43978968,2755.0823,2031.1626,0.4550175842396355
ZNF853,0.03007003946514453,3.5418653,9.458861,0.81214046,0.4550175842396355
