,pval,log2fc,pre_mean,on_mean,qval
NEAT1,0.0036972457641196556,-0.5500834,1952.8462,2859.2993,0.12773407381617527
NFKBIA,0.00045229364091980967,-0.79315555,2655.88,4602.2695,0.051363891780686795
NFKBID,0.0004481762651171103,0.64414763,411.19165,263.1095,0.051363891780686795
NPC1,0.0028046189587773614,-0.88955206,179.84271,333.17676,0.1037177742518909
NPIPB5,0.03670820942897426,-0.4533231,268.3681,367.44702,0.35917688798353087
NR3C1,0.019362469414415752,0.20940383,3921.357,3391.5603,0.27250081326204706
NR4A2,0.0005863328165239169,1.4278177,1094.0839,406.663,0.05337404910710467
NTNG2,0.025796908084582328,-2.0471299,7.789452,32.19248,0.3007675064432716
NXPH4,0.03516853182127008,-1.8221129,3.3125362,11.713084,0.3559030647984942
OGA,0.008942102133638526,-0.24638098,937.6189,1112.2295,0.20714246346845244
OGFRL1,0.002324417205043812,-1.6044972,57.76497,175.65735,0.09619687961338402
OGT,0.02199629040367859,-0.3600272,1045.2179,1341.485,0.28567637454758527
PAQR6,0.0005265757665263143,-3.563931,2.0265622,23.966799,0.051928876168762704
PDK4,0.004348868631133921,-4.102328,3.4191697,58.72788,0.1368955717157352
PECAM1,0.046201561624360205,-0.79218686,30.001581,51.95366,0.40428410350488886
PELI1,4.9153333324483095e-05,-1.1786948,516.6083,1169.4559,0.020261401433797583
PEX1,0.04923332430845632,0.2960344,187.82605,152.98209,0.4091467718925287
PEX11A,0.028401813073586774,1.3261312,42.522846,16.959656,0.31708047547283774
PIM1,0.025571775397004472,0.51661813,1009.8218,705.874,0.2996186264376281
PIM2,0.005064835857556638,-0.38001594,1079.9905,1405.4524,0.1479924817866533
PIM3,0.016539288468316572,0.68041694,978.4549,610.5411,0.25341270625118106
PLA2G2D,0.04739959940917872,-2.8195636,1.9868637,14.026241,0.40428410350488886
PLAC9,0.03805872876951282,3.8937144,11.910548,0.80132174,0.3676609376966433
PLAT,0.026443139214579896,0.80024743,172.0976,98.82716,0.3067906650693905
PLCB1,0.04959339160528971,-1.2514156,2.9403775,7.0003014,0.4091467718925287
PLEC,0.004395858408155586,0.3629182,1107.8511,861.45404,0.1368955717157352
PMAIP1,0.008853068928277546,-1.017717,314.40778,636.5853,0.20714246346845244
PMP22,0.04251438515608791,-0.98822045,33.427216,66.31079,0.3904065469095443
PNMA5,0.002257845386064285,-4.1562443,2.0621834,36.768974,0.09542572509929476
PRDM1,5.442533935871549e-05,-1.30684,1047.2114,2590.7913,0.020261401433797583
PTGER4,0.023406000529899013,-0.5640396,779.2676,1152.0715,0.28674319215769917
PTPN13,0.03083922288123704,-0.47335833,559.057,776.1598,0.3348160195577711
PTPRM,0.015262566268756595,-0.6445598,100.99518,157.88194,0.25085592747528174
RAB13,0.033788446188921684,1.044088,103.096954,49.997005,0.349317864144002
RASGRP4,0.009081667649498795,-3.7579072,0.62562466,8.46363,0.20714246346845244
RGCC,0.002178253290866123,0.42616582,2023.5314,1505.987,0.09539863501279248
RGS1,0.0009655510790315399,-0.5371646,3056.5654,4435.4365,0.07371788329731778
RGS16,0.003171394237520026,1.7298703,867.1639,261.43173,0.1137275266224634
RTKN2,0.02257130323388048,-0.9669817,113.2573,221.38934,0.28567637454758527
