,pval,log2fc,pre_mean,on_mean,qval
AC004687.1,0.00041917157531495196,1.3006904,607.25995,246.50618,0.051421073114294225
AC004817.3,0.00026734141427644197,-1.2299771,128.3963,301.17056,0.03808982043615895
AC005224.3,0.004248003601563382,-1.5813395,28.763435,86.07388,0.1835764749063468
AC016596.1,0.009062983572083945,-5.3083305,0.8586499,34.023804,0.2521761652794751
AC097534.2,0.008288353962324226,-1.2511275,63.21297,150.46417,0.24389149321905051
AL627171.1,0.0021482107650105135,-1.5387963,42.522255,123.54926,0.1276312306920143
ANKRD28,0.009754361384038556,-1.2097592,293.91382,679.8198,0.26205455834239
ARID5B,0.008322650008587116,-0.49779546,1317.7142,1860.6838,0.24389149321905051
ATXN1,0.00899462911461102,-0.42359915,671.00714,900.0014,0.2521761652794751
BATF,0.00077625961377523,-0.3244424,2261.686,2832.0388,0.0648046241099922
BAX,0.004705727830589862,-0.27238154,1471.0587,1776.7446,0.1957765542920105
BHLHE40,0.0017848008002991065,0.5409575,1809.6001,1243.7645,0.11274574419178068
BTG2,0.008452195658690691,0.88982075,1274.7592,687.9635,0.24389149321905051
CBLB,0.0002770420658868193,-0.49685156,1262.5182,1781.5781,0.03808982043615895
CCNH,0.00011137101761136242,-0.66722983,621.80005,987.4314,0.029490194875317625
CD38,0.00562327392379384,-1.2891803,287.79626,703.3429,0.21647084815998474
CEMIP2,0.0005812939063782795,-0.696837,1080.0103,1750.6395,0.0617568618133228
CH25H,0.007145586143000867,-5.8096457,5.4526043,305.8311,0.23982312915187645
CITED2,0.006351176727158981,-0.5843607,843.17554,1264.2358,0.23361449304381923
CRYBG1,0.007438895636454855,-2.0451984,317.14484,1308.9519,0.23982312915187645
CSF1,0.007393161641615499,1.2358267,732.7947,311.14398,0.23982312915187645
CSF2,0.0021842624442900537,2.3580768,366.35306,71.45752,0.1276312306920143
CTLA4,0.0029643161546036912,-0.46596006,2322.549,3207.9888,0.1413971221536211
CYTOR,0.0025705809636137407,-0.33726797,1293.2253,1633.8116,0.13654969681253123
DTHD1,0.0007362054578695488,-1.2950387,141.614,347.4975,0.0648046241099922
EGR1,0.0037206019838672234,1.0155078,346.85562,171.5736,0.17051208574442667
ERN1,0.00278178141431548,-1.5432745,245.23576,714.75256,0.1395347425779062
GABPB1-AS1,0.0002109434495227319,-0.6360973,531.3163,825.72894,0.03553829280855491
GADD45G,0.0014488232610319763,1.6233495,495.80334,160.92834,0.09675189841724155
GEM,5.237068308619858e-05,1.1412785,713.81537,323.61365,0.020400890170642207
GNG4,0.0020173255904060963,-0.562112,624.76636,922.42316,0.12408078452443165
HAVCR2,0.0008552890568025921,-0.48515847,657.44556,920.2526,0.0689329789653598
HLA-DPB1,0.006571715327031408,-0.21271196,1707.6506,1978.9358,0.23361449304381923
HMGB2,0.0002280739534566558,-0.51098263,1903.9596,2713.1814,0.03553829280855491
ICA1,0.007594031765362404,-0.8203572,483.18256,853.2246,0.23985723299158107
IER2,0.00012046919254318344,0.8915622,1819.1805,980.5931,0.029490194875317625
IFNG,0.0017568240804623292,0.7163441,1286.4468,782.98016,0.11274574419178068
IL12RB2,0.007490344556539642,-1.1780442,144.2144,326.31366,0.23982312915187645
IL6ST,3.55148811871457e-05,-1.040648,1083.9623,2229.8745,0.01660169731213544
IRF1,0.0051989975596850495,0.70723325,1531.9257,938.2947,0.20595850539288277
JUN,0.0009613152715284438,0.6877316,3036.7563,1885.3071,0.07489567108198063
JUNB,0.0006191715295379065,0.55101454,5767.3887,3936.4731,0.06192448806016881
KLF10,0.002689674498274123,1.8085451,260.60312,74.39663,0.1395347425779062
KLRB1,0.005742208776813377,0.594567,2003.9935,1327.1311,0.21647084815998474
LINC02175,0.009729953658875943,-3.3795543,0.6369516,6.629086,0.26205455834239
LINC02273,0.008286162222698852,-1.6071988,19.59589,59.70079,0.24389149321905051
LMO4,0.006596773731403912,-0.5603658,809.79236,1194.1547,0.23361449304381923
LTA,0.002249412683232864,0.88503253,934.4046,505.95703,0.127986382164074
MIR4435-2HG,0.007261160363726845,-0.53678083,1078.4846,1564.5919,0.23982312915187645
MNDA,0.0011024788874988342,-1.7868558,7.388544,25.495064,0.08312290588214721
MTHFD2,0.002299857478041103,-0.6842711,1149.2582,1846.7313,0.127986382164074
NCR3,0.0029490851946464276,-0.887696,100.02583,185.0697,0.1413971221536211
