,pval,log2fc,pre_mean,on_mean,qval
NEAT1,0.005707815290834043,-0.47397235,2050.7373,2848.3274,0.21647084815998474
NFKBIA,0.00021433284708113738,-0.72253156,2779.1377,4585.7856,0.03553829280855491
NR4A2,0.0007763398826808648,1.4814932,1460.776,523.1301,0.0648046241099922
OGFRL1,0.0007397193417131044,-1.6295314,56.10164,173.58548,0.0648046241099922
PAQR6,0.003949684925769986,-3.4685428,1.8013886,19.940811,0.1761043019214939
PDK4,0.0013633985558590257,-4.335978,3.0392618,61.380093,0.0937251280042152
PELI1,2.916743550186355e-05,-0.9976976,598.4406,1194.9727,0.01660169731213544
PIM3,0.009207032485439016,0.70275927,993.2998,610.2794,0.2531703717972738
PLEC,0.006873715900762582,0.31040338,1107.9878,893.4993,0.23978880599110292
PMAIP1,0.0011440664110372665,-1.178598,310.8363,703.5988,0.08356287749200757
PNMA5,0.004319839248795977,-4.1858525,1.8330519,33.361225,0.1835764749063468
PRDM1,0.0001261727337260989,-1.3239207,884.587,2214.524,0.029490194875317625
RGCC,0.008362063021338764,0.45413157,2078.7437,1517.3777,0.24389149321905051
RGS1,6.822831724658128e-05,-0.5439205,2781.886,4055.7925,0.02278131293501806
RGS16,0.0025388669145647745,1.6938887,818.8964,253.11488,0.13654969681253123
SLA,0.00018439456231060275,-0.6077879,2090.5217,3185.7896,0.03553829280855491
SOCS3,0.004774450626926477,1.3558872,745.7596,291.36417,0.1957765542920105
SRGN,0.0064491943871713905,-0.14509206,6545.462,7237.9795,0.23361449304381923
SSH2,0.008001620475107739,-0.43535787,567.345,767.19006,0.24389149321905051
SYTL3,0.00021858220188481249,-0.8283678,482.16693,856.1719,0.03553829280855491
TAGAP,0.0004563077074126135,-0.9531729,719.0843,1392.2378,0.051421073114294225
TGIF1,0.0090172607317,-0.64078236,755.47833,1177.9225,0.2521761652794751
TNF,1.1919365546386279e-05,0.97283655,1081.1375,550.84314,0.009286327887506418
TNFAIP3,0.00046200672888464534,-0.48297682,2097.9849,2932.195,0.051421073114294225
TNFSF14,0.005167120099763055,1.8177642,477.58197,135.47101,0.20595850539288277
TNS3,0.0006358600457819336,-0.58757335,276.98856,416.2354,0.06192448806016881
TRAV8-2,0.0070943502814299125,0.57564956,438.58444,294.28317,0.23982312915187645
TSC22D3,0.001206860611234659,-0.71182036,3101.711,5080.1978,0.08547818717078742
TSPYL2,0.0028058734768524243,-1.0096545,521.0802,1049.158,0.1395347425779062
TXNIP,6.598001484793302e-06,-1.2397194,1864.617,4403.3413,0.0077107130767485816
WDR97,0.008054705186951675,-3.021909,1.3708074,11.134269,0.24389149321905051
ZBTB32,0.003993316247247955,-1.5959537,53.510956,161.76056,0.1761043019214939
ZFP36,0.0003886772476455984,-0.75250036,2393.5435,4032.427,0.050469469900390425
ZFP36L1,4.861969047634683e-06,1.0440018,5327.1787,2583.577,0.0077107130767485816
AL603756.1,0.0036704522104320167,-3.3966162,4.67027,49.184174,0.17051208574442667
