,pval,log2fc,pre_mean,on_mean,qval
SAMSN1,0.0007191479350277718,-0.44845882,152.06067,207.4992,0.31527898084324224
SAP30,0.002669044628516824,-0.8217467,27.371712,48.380722,0.4827982478795265
SASH1,0.00025693132112467086,0.68048346,91.81263,57.287056,0.2652234947691143
SBF1,0.006099276565650669,0.47080892,30.732185,22.175114,0.5337581194239903
SFR1,0.00980792479293713,0.42564926,31.080057,23.139214,0.6486530393653389
SH3BGRL,0.0015374393279079925,-0.10451023,406.9177,437.48917,0.39807098179876527
SH3TC1,0.009433364679933113,-0.6327259,77.04825,119.46268,0.6486530393653389
SHARPIN,0.009197855697616397,0.51101476,134.00415,94.03456,0.6486530393653389
SIAH2,0.006369136944758071,-1.4230099,17.690815,47.436924,0.538153675493816
SLA,0.0021661138725057863,-0.52906275,141.36891,203.99414,0.4400485932227575
SLC19A2,0.003664906004482133,-1.4936103,8.141857,22.92688,0.5337581194239903
SLC1A3,0.001980185301208576,-0.59057343,149.99371,225.86731,0.4349765697966437
SLC25A44,0.0021082064040550256,0.4537441,29.137533,21.27464,0.4349765697966437
SMARCAD1,0.005723851681664836,0.39554667,32.223312,24.496202,0.5337581194239903
SMCR8,0.00028119482196165745,0.40289417,48.880833,36.970505,0.2652234947691143
SMIM3,0.0004654055373248949,-1.1183461,62.356594,135.37488,0.29853248767482554
SMS,0.0011446449725946628,0.35829303,303.1781,236.5053,0.3686546008252383
SNHG12,0.007266225967212094,0.4276039,143.9186,107.00284,0.5711265210367389
SRI,0.0031419662250865084,-0.4093167,172.57608,229.19081,0.5206987876775623
SSFA2,0.0026614899525070437,0.45738626,87.81149,63.953506,0.4827982478795265
SSR3,0.005208060365015562,-0.1654761,283.81445,318.30817,0.5337581194239903
ST3GAL6,0.008252604724767876,0.48585325,86.90719,62.05822,0.6122146977916563
SYNGR3,0.0013557687812004362,-1.0304849,1.5354391,3.136458,0.38093607769588894
TAPBPL,0.0007780664938771474,-0.45180812,66.863106,91.45224,0.3210697908225777
TET2,0.002779488484790663,0.34797853,71.2494,55.979527,0.4893688545422283
TEX261,0.006011072443751958,0.35251495,40.40881,31.648891,0.5337581194239903
TMCC3,0.0012066221327063978,0.5863091,30.967112,20.62548,0.37936276904580896
TNFAIP3,0.005630498145651486,-0.77766234,201.07518,344.71338,0.5337581194239903
TOR2A,0.009194266145503902,-0.3505015,57.146347,72.86181,0.6486530393653389
TP53INP1,0.009316425753587054,0.7215393,35.635567,21.61119,0.6486530393653389
TRIM47,0.0013769664348017912,1.013831,68.923706,34.133045,0.38093607769588894
TRMT112,0.004644854481827338,0.2643037,359.2244,299.0904,0.5337581194239903
TSC22D1,0.000313317814430392,-1.1202705,61.010307,132.62892,0.2695867213454383
TSC22D3,1.2407465037080067e-06,-1.2979971,179.16869,440.553,0.016383842709351747
TSIX,0.004262588819541664,-1.4672885,2.7349288,7.562125,0.5337581194239903
TSPAN14,0.0016760670837184521,-0.4130179,127.55652,169.83743,0.4175882184849133
TSPYL1,0.008307906056246473,0.44507018,57.021843,41.885315,0.6128740821900639
UBE2I,0.0004747644423125342,-0.21218431,248.11188,287.4229,0.29853248767482554
UBE3B,0.00572358517702315,0.55484045,48.638203,33.109596,0.5337581194239903
VAPB,0.006689291204777882,0.6397673,53.301216,34.2096,0.5452526661087647
VASH1,0.001992059951993763,0.49616405,120.074005,85.131195,0.4349765697966437
VEGFA,0.00471510578970406,-0.39257148,73.73099,96.78896,0.5337581194239903
VSIG4,0.00999418704762422,-0.5082341,168.85713,240.16689,0.6486530393653389
WWC2,0.004543577280901852,0.77643055,27.385923,15.988161,0.5337581194239903
ZBTB7B,0.0038280259481035736,0.6388883,58.122917,37.32698,0.5337581194239903
ZC3HAV1,0.002249366780155695,0.40265,130.69772,98.86858,0.440961945853656
ZFAND5,0.0073936341580498255,-0.48895437,275.3294,386.40482,0.5757637189718554
ZFP36L1,0.000740157257580873,0.37395477,611.23975,471.67188,0.31527898084324224
ZNF331,0.007469175357718028,-0.79622513,117.867,204.68211,0.576778754906945
ZNF503,0.0019233906713251832,0.55810803,25.537403,17.344807,0.4349765697966437
ZNF510,0.0038989547294170533,1.1629113,9.020299,4.028559,0.5337581194239903
AATBC,0.00416773625085864,1.4786907,10.274785,3.6867397,0.5337581194239903
AC018529.2,0.006050392800393085,1.5627129,10.877218,3.6820898,0.5337581194239903
SLC6A12,0.00692641632458341,-0.9320348,11.5025215,21.94641,0.552617129516212
MPO,0.006413372076503932,-2.5918326,0.711886,4.2917047,0.538153675493816
