,pval,log2fc,pre_mean,on_mean,qval
A1BG,0.037093200786913846,0.5608797,85.65621,58.065376,0.6619261552338287
AASDHPPT,0.01465252706745047,0.44507295,65.85222,48.37156,0.6058066730647776
ABCB9,0.020352496579217935,1.599582,3.8214827,1.2609845,0.6160958075055661
ABCD1,0.01941275136886242,-0.28015646,60.583294,73.5679,0.6160958075055661
ABHD13,0.045019381761001974,0.37481186,52.612633,40.575176,0.6652795016420429
ABHD5,0.04131037130908088,-0.73081166,44.878326,74.478836,0.6635580794069232
AC002467.1,0.013446204477930119,1.3262234,5.4057403,2.155868,0.5854826077064852
AC005224.3,0.011484977509632267,-1.9431901,1.966168,7.560999,0.5774880075753013
AC005332.4,0.0427313498698954,4.9631205,3.2277007,0.1034773,0.6635580794069232
AC007384.1,0.005728034203381989,-0.8262291,11.250555,19.947739,0.5341003258646149
AC008957.1,0.04759926817743901,-0.5291258,4.205785,6.0691767,0.668009398093565
AC009237.14,0.007719509714280632,-1.1237091,1.0702728,2.3321939,0.5774880075753013
AC009275.1,0.01230281973095523,1.4027584,8.582705,3.2460246,0.5774880075753013
AC010245.2,0.03448138390079534,5.1326847,2.086997,0.05948806,0.6564966347763671
AC010491.1,0.04718598125890721,-3.8578904,0.06137673,0.88990676,0.668009398093565
AC011043.1,0.03938740323958625,-1.6107385,1.4338045,4.378956,0.6635580794069232
AC016596.1,0.0035191387207736432,-1.5567918,0.736848,2.1677985,0.5043265463170127
AC020910.4,0.021666030464695656,-1.529175,1.1595495,3.3467004,0.6313888921215575
AC020911.2,0.026130480912875904,-1.9286398,1.5898197,6.0523815,0.6409096428040528
AC023632.2,0.037793916096664215,-2.1080775,0.15234604,0.6567889,0.6619261552338287
AC024257.3,0.03885833038397784,-1.1109074,1.6516595,3.5672781,0.6635580794069232
AC053527.1,0.04042621832375292,-2.027643,0.17005415,0.6933757,0.6635580794069232
AC079209.1,0.039309746026802476,-1.4246578,2.280736,6.122655,0.6635580794069232
AC084036.1,0.01606007796089026,3.4375474,2.904475,0.26807898,0.6160958075055661
AC091271.1,0.0035538502995357173,-0.5645346,16.950277,25.067942,0.5043265463170127
AC093157.1,0.03758172888933049,0.6006872,7.047367,4.647314,0.6619261552338287
AC093297.2,0.011895150083317095,1.8726817,5.9730253,1.6310264,0.5774880075753013
AC093525.6,0.03957573168459239,2.373431,5.286511,1.0202234,0.6635580794069232
AC103691.1,0.028307829336737866,0.35509887,27.250023,21.304506,0.6495453657665972
AC105277.1,0.04595140688349535,2.2034762,2.6566644,0.5767987,0.668009398093565
AC118549.1,0.007774280790940016,0.716569,40.6194,24.718649,0.5774880075753013
AC135279.3,0.03892084611322577,-1.6852453,0.9527434,3.0639758,0.6635580794069232
ACAD8,0.04592174285894767,0.7865907,25.111973,14.557722,0.668009398093565
ACOT2,0.02052737812016383,0.7245962,55.454796,33.55938,0.6182289510744035
ACRBP,0.004507468520618679,-0.74964535,16.725605,28.12209,0.5341003258646149
ACSL1,0.003476828452247331,-0.545823,153.42978,223.9849,0.5043265463170127
ACSL3,0.04496571410181987,-0.3401526,93.6991,118.61279,0.6652795016420429
ACTR2,0.03968291044340989,0.09647453,370.75394,346.77203,0.6635580794069232
ADARB1,0.02517091881951091,0.7274268,10.310297,6.2272153,0.6409096428040528
ADH5,0.026046253706450383,0.37406704,109.81874,84.7366,0.6409096428040528
ADPGK,0.00373730756470098,-0.19846253,198.66106,227.95857,0.5043265463170127
AGAP4,0.002411389313087981,1.541794,6.85293,2.3536944,0.47885516821406116
AGPAT2,0.04603826163228135,0.3382915,157.8685,124.87042,0.668009398093565
AHDC1,0.04162237773961409,-0.8146787,6.6492357,11.695383,0.6635580794069232
AIDA,0.026599088231122194,0.40423453,96.08756,72.60733,0.6409096428040528
AIMP1,0.01340202478758346,-0.37584355,95.484024,123.89988,0.5854826077064852
AK1,0.02582968724545556,0.9672459,25.091116,12.833643,0.6409096428040528
AKAP10,0.012263336239422676,0.41330305,61.858288,46.449524,0.5774880075753013
AKAP13,0.02887714459731837,-0.23929782,193.567,228.48997,0.6495453657665972
AKAP8L,0.028250338619661874,-0.36116752,27.007095,34.689667,0.6495453657665972
AKIRIN1,0.00030485034926554846,0.53973746,92.98104,63.961296,0.39544368911695643
AL122035.1,0.0379588642931812,-3.2697418,0.11814574,1.1394845,0.6619261552338287
AL138724.1,0.0056437842519662775,-0.9919154,4.246693,8.445924,0.5341003258646149
AL157392.5,0.016077729243721778,-2.5489383,0.55627847,3.2553608,0.6160958075055661
AL162258.2,0.03442353405186257,-1.3322577,2.5066042,6.3115396,0.6564966347763671
AL391069.3,0.03785676744813429,0.49443704,23.6978,16.821613,0.6619261552338287
AL391422.3,0.04043479311126891,-1.9678779,1.2051941,4.7146263,0.6635580794069232
AL445524.1,0.015677225455745878,-1.0505731,6.627287,13.7274475,0.6160958075055661
ALDH18A1,0.010755254603043492,-0.7744223,11.2711525,19.279362,0.5774880075753013
ALDH1A1,0.0073338249831507935,-0.36007586,98.48143,126.40027,0.5774880075753013
ALOX15B,0.0007610776326871107,-1.3683249,18.428453,47.576855,0.39803625573525286
AMACR,0.02199505502661955,1.2231036,12.792231,5.4796824,0.6313888921215575
AMPD2,0.04568735165031669,-0.3594319,48.100418,61.70902,0.668009398093565
