,pval,log2fc,pre_mean,on_mean,qval
JDP2,0.005516761891527084,-1.5128739,24.486153,69.87808,0.6094830389533102
KAT2A,0.0043183734834883105,1.4492437,69.79036,25.558163,0.6094830389533102
LPAR6,0.008963595253754807,0.73262495,288.37454,173.54608,0.6094830389533102
LRIF1,0.006229080578609692,1.0656865,38.41137,18.350851,0.6094830389533102
LSR,0.007444258532502848,1.6601679,26.63048,8.425945,0.6094830389533102
MAP1S,0.004827863801205726,0.74737793,81.02608,48.266037,0.6094830389533102
MEF2C,0.0008896584475101488,0.67849374,366.35333,228.90388,0.6094830389533102
METTL3,0.005548950845171629,1.8060343,34.741642,9.935273,0.6094830389533102
MYO1F,0.006105947302453727,0.5535265,238.7307,162.65977,0.6094830389533102
NCBP3,0.003918071603868756,1.263237,95.612236,39.83284,0.6094830389533102
OTUD1,0.005590524652196592,1.3634964,72.677864,28.24547,0.6094830389533102
P2RY13,0.0022633006824545254,1.2249461,155.57014,66.55501,0.6094830389533102
PDK4,0.000509664815665879,-2.623618,70.97004,437.38385,0.6094830389533102
PER1,0.003761828815160889,-1.1246215,86.861565,189.39673,0.6094830389533102
PFKFB3,0.0016870876093756217,-1.1334195,94.619125,207.57364,0.6094830389533102
PHPT1,0.007254746652702333,-0.6272744,190.35341,294.02826,0.6094830389533102
PIM3,0.009047914518655789,-0.7966813,66.48831,115.49688,0.6094830389533102
PLIN2,0.0009181649508372157,-1.1697173,169.68018,381.72543,0.6094830389533102
PNISR,0.0032091045942812383,0.460627,281.7491,204.73874,0.6094830389533102
POLR1C,0.004477887020958497,1.6060822,22.02411,7.234682,0.6094830389533102
PRR3,0.008141912002758081,2.9944935,36.11126,4.5311694,0.6094830389533102
PTPN23,0.0019090669621119481,1.1238965,63.252556,29.023617,0.6094830389533102
RAPH1,0.006399050849934298,1.1027933,84.70109,39.438023,0.6094830389533102
RASSF5,0.007064856262556915,1.5925069,90.047516,29.859285,0.6094830389533102
RGS1,0.000509308577644144,-1.1372069,283.8277,624.2926,0.6094830389533102
RSRP1,0.009606395323972184,0.84757966,273.1159,151.77495,0.6094830389533102
RXRA,0.009911177669461882,1.1482631,123.5538,55.743534,0.6094830389533102
S100A16,0.009328604914327255,1.689761,18.273619,5.6644244,0.6094830389533102
SCOC,0.00650028539942264,1.2789203,97.23571,40.071205,0.6094830389533102
SGSH,0.003078457263507107,-0.81470895,29.283049,51.50722,0.6094830389533102
SLC12A9,0.008137083418453196,0.9443758,98.998955,51.445236,0.6094830389533102
SLC31A2,0.003237552466781789,-0.8249849,146.15671,258.919,0.6094830389533102
SMG1,0.007666584124619581,0.6696277,155.47186,97.74032,0.6094830389533102
SOCS1,0.005594732718488921,-0.78196615,50.336174,86.551674,0.6094830389533102
SRGN,0.009983552835950515,-0.3165835,766.68884,954.8173,0.6094830389533102
ST3GAL6,0.007279272566290915,0.62268215,118.40622,76.90038,0.6094830389533102
SUDS3,0.005892403404427775,1.328825,82.36571,32.789158,0.6094830389533102
TBC1D4,0.00811655362482469,0.9291725,86.989944,45.683594,0.6094830389533102
TIMM23,0.008372375601883173,0.8158068,94.65885,53.774815,0.6094830389533102
TMCO3,0.0017952840516790008,0.78752667,60.510845,35.056137,0.6094830389533102
TMEM38B,0.004315776164443701,-1.9763857,13.3537,52.547615,0.6094830389533102
TNFAIP3,0.00856989312518844,-0.95368826,189.31134,366.6616,0.6094830389533102
TSC22D3,4.099703428831368e-06,-1.3827913,223.17853,581.98804,0.04349387054199853
UHRF1BP1,0.002977856495429286,1.6276883,71.56831,23.15996,0.6094830389533102
USP13,0.0049412238473383035,2.3533144,17.123426,3.350985,0.6094830389533102
VEGFA,0.002840421181707511,-2.2358792,16.837482,79.312904,0.6094830389533102
VPS13D,0.006372382453482493,1.2964458,66.45163,27.054314,0.6094830389533102
ZBTB6,0.008081329267753104,2.3329468,17.290932,3.431875,0.6094830389533102
ZNF282,0.009381398259462825,2.9719727,13.310388,1.6964372,0.6094830389533102
ZNF503,0.009496924887639412,1.5242815,45.191673,15.711005,0.6094830389533102
AC084871.2,0.009785799973739956,-3.644663,3.8628845,48.313072,0.6094830389533102
