,pval,log2fc,pre_mean,on_mean,qval
A2M,0.004813315390147265,0.62102085,574.39844,373.48,0.6094830389533102
AC004687.1,0.0028717717924305764,1.0721656,122.80345,58.40588,0.6094830389533102
APBB2,0.009949619290044306,2.6349351,12.819642,2.0638654,0.6094830389533102
AREG,0.009216672183504596,-3.995286,4.384177,69.918,0.6094830389533102
ASNA1,0.006849971762589649,-0.48849767,124.70893,174.96452,0.6094830389533102
C12orf57,0.003337793221522927,1.1268756,268.3501,122.879196,0.6094830389533102
C1D,0.0007922588751037536,0.7399225,108.970215,65.24826,0.6094830389533102
C21orf62-AS1,0.007742940004321475,4.029336,7.623187,0.46685883,0.6094830389533102
CASP10,0.006228138672193683,1.3637073,36.292885,14.102779,0.6094830389533102
CCDC117,0.0071998994762605285,2.0030968,32.921257,8.2126665,0.6094830389533102
CCL18,0.006317890682275386,-2.9055061,48.306858,361.95395,0.6094830389533102
CD163,0.007158739864819118,-0.49977458,372.77213,527.09705,0.6094830389533102
CD300A,0.0003095463480813159,-0.61314523,142.3074,217.67201,0.6094830389533102
CEBPB,0.00983118834280155,-1.0719969,157.73927,331.6218,0.6094830389533102
CEP57,0.0020922709249845423,0.8487859,74.35418,41.285294,0.6094830389533102
CHM,0.0001984488685654338,1.1441336,63.768467,28.852766,0.6094830389533102
CINP,0.006571459221552522,-0.8451382,41.524185,74.59557,0.6094830389533102
CSNK1G3,0.0059452912082374075,0.72018766,40.03608,24.302639,0.6094830389533102
CSTF3,0.0073424444007591065,1.4878122,40.767494,14.535766,0.6094830389533102
CYTIP,0.0025128558945338,-1.3394401,61.112503,154.64708,0.6094830389533102
DDIT3,0.004305323223093557,0.920191,105.79308,55.905197,0.6094830389533102
DDIT4,0.0009039108506955492,-1.887347,82.0612,303.58893,0.6094830389533102
DIDO1,0.007273967781033071,0.77183145,58.89231,34.491665,0.6094830389533102
DNAAF2,0.008785002892485969,1.3061465,42.714775,17.273838,0.6094830389533102
DRG1,0.009558840018990121,1.4350972,90.970406,33.642853,0.6094830389533102
ELMSAN1,0.0026560402090306323,1.535399,84.07316,29.00389,0.6094830389533102
FAM50A,0.009843837455764011,1.0453548,180.12796,87.27663,0.6094830389533102
FASTKD1,0.0026565581288549166,1.8792955,46.922714,12.754364,0.6094830389533102
FBXW7,0.001685358292374352,2.0826733,41.77269,9.861553,0.6094830389533102
GKAP1,0.004300646906132624,2.8561563,20.738243,2.8640673,0.6094830389533102
GLUL,0.005443983905268958,-0.52937204,647.16797,934.05804,0.6094830389533102
GRINA,0.007178695315925868,-0.34049737,380.90384,482.2978,0.6094830389533102
GSTM2,0.0024830821131301625,1.6173834,32.304863,10.528996,0.6094830389533102
GYPC,0.00852859659364751,0.882469,297.89142,161.58772,0.6094830389533102
HHLA3,0.007449834097619731,1.9914443,26.711819,6.7176747,0.6094830389533102
HOTAIRM1,0.009347345914560554,1.3191898,37.77211,15.137548,0.6094830389533102
HTRA2,0.007257078218921553,1.3201662,52.30953,20.94938,0.6094830389533102
IFI16,0.008386293676877753,0.4725684,344.62762,248.3664,0.6094830389533102
IL6R,0.004283011001700353,1.1494577,96.15398,43.3457,0.6094830389533102
ING2,0.006568824822678339,1.7271155,58.033066,17.529194,0.6094830389533102
ITPKC,0.007219359274945008,-7.723574,0.10782572,22.79029,0.6094830389533102
